Manufacturer,Model,SN,Power,Voltage,IR60,Temp
ОАО «МЭТЗ им.В.И.Козлова»,ТМГ-12-250/10-У1,1946080,250,10.0,1670,5
Запорожский трансформаторный завод,АТДЦТН-200000/330/110-74 У1,124035,200000,330.0,4160,52
ООО «ATEF ГРУППА КОМПАНИЙ»,ТДН-16000/110-У1,77525,16000,115.0,16500,33
ООО «ATEF ГРУППА КОМПАНИЙ»,ТДН-16000/110-У1,77524,16000,115.0,18600,34
"ATEF группа компаний, 
 Азербайджанская республика",АTДTH – 125000/330/115,77261,125000,330.0,8240,22
None,ТМГ12-1000/10-УХЛ1,2025361,25,10.0,170000,7
ОАО «МЭТЗ им.В.И.Козлова»,ТМГ-11-250/10 У1,None,250,6.0,186000,20
None,ТМГ12-1000/10-УХЛ1,2025360,25,10.0,54200,7
ОАО «МЭТЗ им.В.И.Козлова»,ТМГ-11-250/10 У1,None,250,6.0,94300,20
ОАО «МЭТЗ им.В.И.Козлова»,ТМГ-11-250/10 У1,None,250,6.0,71200,20
ОАО «МЭТЗ им.В.И.Козлова»,ТМГ-11-250/10 У1,None,250,6.0,115000,20
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,"ТТR-А 219/0,4 У3.1",117899,219,0.4,936000,10
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-2 800/10 У1,117801,800,10.0,6300,1
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-2 4000/10 У1,118019,4000,10.0,1510,2
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-2 4000/10 У1,118018,4000,10.0,1900000,2
ОАО «МЭТЗ им.В.И.Козлова»,ТМГСУ11-250/10-У1,1934942,250,10.0,17400,10
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-AoBk 2000/10 У1,119272,2000,10.0,18400,0
ОАО «МЭТЗ им.В.И.Козлова»,ТМГСУ11-250/10-У1,1934345,250,10.0,7730,10
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-2R 2500/10 У1,117808,2500,10.0,15400,2
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-2 1000/10 У1,117738,1000,10.0,2860,0
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-AoBk 2000/10 У1,119270,2000,10.0,26300,0
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-AoBk 2000/10 У1,119271,2000,10.0,39700,0
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-AoBk 2500/10 У1,119241,2500,10.0,8109,0
S.E.A. S.p.a. Societa Elettromeccanica Arzignano,ТТО-AoBk 2500/10 У1,119242,2500,10.0,3980,0
